Start date,End date,Org,Repo,Path,Title,Count,Unique
2023-02-28,2023-03-14,usdot-fhwa-stol,actions,/usdot-fhwa-stol/actions/actions,Actions · usdot-fhwa-stol/actions,37,1
2023-02-28,2023-03-14,usdot-fhwa-stol,actions,/usdot-fhwa-stol/actions,usdot-fhwa-stol/actions: These actions are commonly used steps in STOL's GitH...,25,3
2023-02-28,2023-03-14,usdot-fhwa-stol,actions,/usdot-fhwa-stol/actions/pulls,Pull requests · usdot-fhwa-stol/actions,10,1
2023-02-28,2023-03-14,usdot-fhwa-stol,actions,/usdot-fhwa-stol/actions/pull/17,Repo codename setup by rob-baily · Pull Request #17 · usdot-fhwa-stol/actions,9,2
2023-02-28,2023-03-14,usdot-fhwa-stol,actions,/usdot-fhwa-stol/actions/pull/15/files,Deb s3 upload by rob-baily · Pull Request #15 · usdot-fhwa-stol/actions,5,2
2023-02-28,2023-03-14,usdot-fhwa-stol,actions,/usdot-fhwa-stol/actions/compare/main...deb-s3-upload,Comparing main...deb-s3-upload · usdot-fhwa-stol/actions,5,1
2023-02-28,2023-03-14,usdot-fhwa-stol,actions,/usdot-fhwa-stol/actions/pull/17/files,Repo codename setup by rob-baily · Pull Request #17 · usdot-fhwa-stol/actions,5,1
2023-02-28,2023-03-14,usdot-fhwa-stol,actions,/usdot-fhwa-stol/actions/pull/15,Deb s3 upload by rob-baily · Pull Request #15 · usdot-fhwa-stol/actions,4,2
2023-02-28,2023-03-14,usdot-fhwa-stol,actions,/usdot-fhwa-stol/actions/pull/18,Fix underscore by rob-baily · Pull Request #18 · usdot-fhwa-stol/actions,4,1
2023-02-28,2023-03-14,usdot-fhwa-stol,actions,/usdot-fhwa-stol/actions/commit/8d3315d062e58e2995599a5cd83f71aa7a9d25ee,deb-s3-docker-build.yml: packages write permission · usdot-fhwa-stol/actions@...,3,3
2023-02-28,2023-03-14,usdot-fhwa-stol,ads-traffic-regs,/usdot-fhwa-stol/ads-traffic-regs/tree/cherneysp-initial,usdot-fhwa-stol/ads-traffic-regs at cherneysp-initial,3,1
2023-02-28,2023-03-14,usdot-fhwa-stol,ads-traffic-regs,/usdot-fhwa-stol/ads-traffic-regs/tree/cherneysp-initial/intersection,ads-traffic-regs/intersection at cherneysp-initial · usdot-fhwa-stol/ads-traf...,3,1
2023-02-28,2023-03-14,usdot-fhwa-stol,ads-traffic-regs,/usdot-fhwa-stol/ads-traffic-regs/blob/cherneysp-initial/intersection/turn_on_red_cost_fn.py,ads-traffic-regs/turn_on_red_cost_fn.py at cherneysp-initial · usdot-fhwa-sto...,2,1
2023-02-28,2023-03-14,usdot-fhwa-stol,ads-traffic-regs,/usdot-fhwa-stol/ads-traffic-regs/blob/cherneysp-initial/intersection/spawn_NPC_for_intersection.py,ads-traffic-regs/spawn_NPC_for_intersection.py at cherneysp-initial · usdot-f...,1,1
2023-02-28,2023-03-14,usdot-fhwa-stol,ads-traffic-regs,/usdot-fhwa-stol/ads-traffic-regs/blob/cherneysp-initial/screenshots/regulations_dialog.png,ads-traffic-regs/regulations_dialog.png at cherneysp-initial · usdot-fhwa-sto...,1,1
2023-02-28,2023-03-14,usdot-fhwa-stol,ads-traffic-regs,/usdot-fhwa-stol/ads-traffic-regs/blob/cherneysp-initial/screenshots/situations.png,ads-traffic-regs/situations.png at cherneysp-initial · usdot-fhwa-stol/ads-tr...,1,1
2023-02-28,2023-03-14,usdot-fhwa-stol,ads-traffic-regs,/usdot-fhwa-stol/ads-traffic-regs/blob/cherneysp-initial/src/adsregs/bc/Situation.java,ads-traffic-regs/Situation.java at cherneysp-initial · usdot-fhwa-stol/ads-tr...,1,1
2023-02-28,2023-03-14,usdot-fhwa-stol,ads-traffic-regs,/usdot-fhwa-stol/ads-traffic-regs/blob/cherneysp-initial/src/adsregs/bc/TcdType.java,ads-traffic-regs/TcdType.java at cherneysp-initial · usdot-fhwa-stol/ads-traf...,1,1
2023-02-28,2023-03-14,usdot-fhwa-stol,ads-traffic-regs,/usdot-fhwa-stol/ads-traffic-regs/tree/cherneysp-initial/src/adsregs,ads-traffic-regs/src/adsregs at cherneysp-initial · usdot-fhwa-stol/ads-traff...,1,1
2023-02-28,2023-03-14,usdot-fhwa-stol,ads-traffic-regs,/usdot-fhwa-stol/ads-traffic-regs/tree/cherneysp-initial/src/adsregs/bc,ads-traffic-regs/src/adsregs/bc at cherneysp-initial · usdot-fhwa-stol/ads-tr...,1,1
2023-02-28,2023-03-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/tree/develop/AutowareAuto/src/localization/ndt,autoware.auto/AutowareAuto/src/localization/ndt at develop · usdot-fhwa-stol/...,6,1
2023-02-28,2023-03-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/tree/develop/AutowareAuto/src/localization,autoware.auto/AutowareAuto/src/localization at develop · usdot-fhwa-stol/auto...,5,1
2023-02-28,2023-03-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/tree/develop/AutowareAuto/src,autoware.auto/AutowareAuto/src at develop · usdot-fhwa-stol/autoware.auto,4,1
2023-02-28,2023-03-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/tree/develop/AutowareAuto/src/localization/ndt/include/ndt,autoware.auto/AutowareAuto/src/localization/ndt/include/ndt at develop · usdo...,4,1
2023-02-28,2023-03-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/blob/develop/README.md,autoware.auto/README.md at develop · usdot-fhwa-stol/autoware.auto · GitHub,3,3
2023-02-28,2023-03-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto,usdot-fhwa-stol/autoware.auto,3,1
2023-02-28,2023-03-14,usdot-fhwa-stol,autoware.auto,/usdot-fhwa-stol/autoware.auto/tree/develop/AutowareAuto/src/localization/localization_nodes,autoware.auto/AutowareAuto/src/localization/localization_nodes at develop · u...,3,1
